scenario,delta,temps_reduit,rayon_reduit,energie_reduite
sans_germe,1.2,57.5,0.0,0.0
sans_germe,1.2,57.6,0.0,0.0
sans_germe,1.2,57.7,0.0,0.0
sans_germe,1.2,57.800000000000004,0.0,0.0
sans_germe,1.2,57.9,0.0,0.0
sans_germe,1.2,58.0,0.0,0.0
sans_germe,1.2,58.1,0.0,0.0
sans_germe,1.2,58.2,0.0,0.0
sans_germe,1.2,58.300000000000004,0.0,0.0
sans_germe,1.2,58.4,0.0,0.0
sans_germe,1.2,58.5,0.0,0.0
sans_germe,1.2,58.6,0.0,0.0
sans_germe,1.2,58.7,0.0,0.0
sans_germe,1.2,58.800000000000004,0.0,0.0
sans_germe,1.2,58.9,0.0,0.0
sans_germe,1.2,59.0,0.0,0.0
sans_germe,1.2,59.1,0.0,0.0
sans_germe,1.2,59.2,0.0,0.0
sans_germe,1.2,59.300000000000004,0.0,0.0
sans_germe,1.2,59.4,0.0,0.0
sans_germe,1.2,59.5,0.0,0.0
sans_germe,1.2,59.6,0.0,0.0
sans_germe,1.2,59.7,0.0,0.0
sans_germe,1.2,59.800000000000004,0.0,0.0
sans_germe,1.2,59.9,0.0,0.0
sans_germe,1.2,60.0,0.0,0.0
sous_barriere,1.2,0.0,0.5993855551514619,0.13472238817260163
sous_barriere,1.2,0.1,0.588579808173865,0.13355287574543828
sous_barriere,1.2,0.2,0.5761927414020064,0.13201617222598355
sous_barriere,1.2,0.3,0.5620592983578437,0.1300158478516498
